,文采-均值,文采-方差,思维-均值,思维-方差,魔怔-均值,魔怔-方差,总分,总分方差,各维方差
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],7.48571428570677,4.28691609984671,6.43909774440602,5.24110753049249,7.51535417494737,2.64823150061964,40.6917453000058,36.3145684895919,"=VAR(B2,D2,F2)"
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],7.36992481202256,3.7503831006803,6.3157894737218,5.97353502774914,6.42099327268421,5.95217718897223,37.4914774274873,41.9382199311014,"=VAR(B3,D3,F3)"
0.5%谷氨酸钠溶液计划,3.50939849626316,9.21397989010261,5.02869674188722,9.87158759980416,6.55527898694737,6.87416816641368,28.8007676444307,149.01662127959,"=VAR(B4,D4,F4)"
11 月 23 日霰呚,4.60150375942105,8.31877312313331,5.62794486214286,7.58374139713885,5.83850415510526,4.92561840568309,29.8755206672508,62.2872410676946,"=VAR(B5,D5,F5)"
2023-06-11 闲话,3.83458646618797,9.67406611756057,5.74561403513534,8.97631976758812,4.04451919273684,9.01548869529758,24.8994698827114,163.334866308859,"=VAR(B6,D6,F6)"
2023-09-28,4.9631578947594,6.03270557328914,6.06691729322556,7.07578350643596,6.00053423031579,5.83846824652279,31.4373673120005,48.613366436882,"=VAR(B7,D7,F7)"
2023.9.28 旧事重提,4.86390977442857,6.03057524767477,6.2731829573609,6.32856943941314,6.54602295210526,5.47339844461023,33.2021297352022,79.0845794585439,"=VAR(B8,D8,F8)"
4月13日闲话,5.19398496242105,5.79195727410889,7.05162907267669,4.55899789138451,4.64542936289474,7.94087042894809,31.369346579224,92.8130410327074,"=VAR(B9,D9,F9)"
Azune FFT,6.1718045112782,9.13224758324382,6.74310776938346,5.96217806430027,8.25144440047368,4.13630739227019,41.7398617236403,271.630301278291,"=VAR(B10,D10,F10)"
B3800题解,1.71052631578947,5.81432748538012,2.99924812031579,8.77461391578257,4.70370003957895,12.5626076510357,17.7709561132083,163.3167351372,"=VAR(B11,D11,F11)"
NOIP2022 VP 游记,3.02180451129323,8.26844372840866,5.5726817042406,8.04802681301054,6.60225563910526,11.3368767156184,29.0723678183181,138.035275412108,"=VAR(B12,D12,F12)"
P8353 题解,3.39849624059398,13.6039205155832,5.92982456139098,10.4541114690049,6.47926394936842,7.58193744482705,30.4789506801919,214.506388802041,"=VAR(B13,D13,F13)"
